Tabla de tokens:

    Token		   Descripción			Acción			Atributo	Linea	# repetición
  programa             Palabra reservada               Inicia programa                 400         1         1
   ejemplo                 identificador                      variable                 500         1         1
    entero             Palabra reservada                  Tipo de dato                 401         3         1
  multiple                 identificador                      variable                 501         3         1
         ,               caracter simple                          Coma                  44         3         1
       num                 identificador                      variable                 502         3         1
         ;               caracter simple                  Punto y coma                  59         3         1
      real             Palabra reservada                  Tipo de dato                 402         4         1
    numero                 identificador                      variable                 503         4         1
         ;               caracter simple                  Punto y coma                  59         4         2
    numero                 identificador                      variable                 503         5         2
         =               caracter simple                    Asignacion                  61         5         1
      84.6                          real                          real                84.6         5         1
         ;               caracter simple                  Punto y coma                  59         5         3
      leer             Palabra reservada               Función de leer                 403         7         1
         (               caracter simple           Paréntesis que abre                  40         7         1
       num                 identificador                      variable                 502         7         2
         )               caracter simple         Paréntesis que cierra                  41         7         1
         ;               caracter simple                  Punto y coma                  59         7         4
  multiple                 identificador                      variable                 501         9         2
         =               caracter simple                    Asignacion                  61         9         2
       123                        entero                        entero                 123         9         1
         +               caracter simple                 Operador suma                  43         9         1
       597                        entero                        entero                 597         9         1
         ;               caracter simple                  Punto y coma                  59         9         5
    numero                 identificador                      variable                 503        10         3
         =               caracter simple                    Asignacion                  61        10         3
    numero                 identificador                      variable                 503        10         4
         +               caracter simple                 Operador suma                  43        10         2
        12                        entero                        entero                  12        10         1
         *               caracter simple       Operador multiplicación                  42        10         1
        10                        entero                        entero                  10        10         1
         ;               caracter simple                  Punto y coma                  59        10         6
  escribir             Palabra reservada           Función de escribir                 404        12         1
         (               caracter simple           Paréntesis que abre                  40        12         2
    numero                 identificador                      variable                 503        12         5
         )               caracter simple         Paréntesis que cierra                  41        12         2
         ;               caracter simple                  Punto y coma                  59        12         7
finprograma             Palabra reservada              Termina programa                 405        13         1
